Rank,Team,Salary
1,Bayern Munich,8119896
2,B. Dortmund,4971358
3,B. Leverkusen,3186501
4,RB Leipzig,2416364
5,Wolfsburg,2410395
6,Schalke,2185181
7,B. Monchengladbach,1919327
8,Hoffenheim,1699966
9,Werder Bremen,1566229
10,E. Frankfurt,1538319
11,Hertha Berlin,1295360
12,FC Koln,1224422
13,Augsburg,1017136
14,Mainz,851855
15,F. Dusseldorf,755025
16,Freiburg,727992
17,Union Berlin,676404
18,Paderborn,418748
