Rank,Team,Salary
1,Bayern Munich,8358534
2,B. Dortmund,4219466
3,B. Leverkusen,2919550
4,Schalke,2800709
5,Wolfsburg,2544751
6,RB Leipzig,2054481
7,B. Monchengladbach,1720315
8,Hoffenheim,1567798
9,Stuttgart,1563719
10,E. Frankfurt,1197378
11,Werder Bremen,1194729
12,Hertha Berlin,1094403
13,Mainz,819956
14,Hannover 96,779180
15,Augsburg,744448
16,Fortuna Dusseldorf,666540
17,Freiburg,589150
18,FC Nurnberg,407666
