Rank,Team,Salary
1,Bayern Munich,5498592
2,B. Dortmund,2651357
3,Schalke,2333925
4,Wolfsburg,2254011
5,B. Leverkusen,1861877
6,B. Monchengladbach,1287123
7,Hamburg,1174404
8,Hoffenheim,1073702
9,Hertha Berlin,1039290
10,RB Leipzig,1001275
11,Werder Bremen,815620
12,FC Koln,813945
13,E. Frankfurt,794121
14,Mainz,666037
15,Augsburg,598026
16,Freiburg,438390
17,FC Ingolstadt,435874
18,SV Darmstadt,395076
